water_year,water_year_type,region,month,stat,value
1995,Wet,Sacramento River,3,prop_above_threshold,0
1995,Wet,Sacramento River,4,prop_above_threshold,0
1995,Wet,Yolo Bypass,3,prop_above_threshold,0.1935483870967742
1995,Wet,Yolo Bypass,4,prop_above_threshold,0
1996,Wet,Sacramento River,3,prop_above_threshold,0
1996,Wet,Sacramento River,4,prop_above_threshold,0
1996,Wet,Yolo Bypass,3,prop_above_threshold,0.12903225806451613
1996,Wet,Yolo Bypass,4,prop_above_threshold,0
1997,Wet,Sacramento River,3,prop_above_threshold,0.2903225806451613
1997,Wet,Sacramento River,4,prop_above_threshold,0.4
1997,Wet,Yolo Bypass,3,prop_above_threshold,0.45161290322580644
1997,Wet,Yolo Bypass,4,prop_above_threshold,0.4666666666666667
1998,Wet,Sacramento River,3,prop_above_threshold,0
1998,Wet,Sacramento River,4,prop_above_threshold,0
1998,Wet,Yolo Bypass,3,prop_above_threshold,0.3548387096774194
1998,Wet,Yolo Bypass,4,prop_above_threshold,0.23333333333333334
1999,Wet,Sacramento River,3,prop_above_threshold,0
1999,Wet,Sacramento River,4,prop_above_threshold,0
1999,Wet,Yolo Bypass,3,prop_above_threshold,0
1999,Wet,Yolo Bypass,4,prop_above_threshold,0.1
2000,Above Normal,Sacramento River,3,prop_above_threshold,0
2000,Above Normal,Sacramento River,4,prop_above_threshold,0.23333333333333334
2000,Above Normal,Yolo Bypass,3,prop_above_threshold,0.22580645161290322
2000,Above Normal,Yolo Bypass,4,prop_above_threshold,0.36666666666666664
2001,Dry,Sacramento River,3,prop_above_threshold,0.41935483870967744
2001,Dry,Sacramento River,4,prop_above_threshold,0.23333333333333334
2001,Dry,Yolo Bypass,3,prop_above_threshold,0.45161290322580644
2001,Dry,Yolo Bypass,4,prop_above_threshold,0.23333333333333334
2002,Dry,Sacramento River,3,prop_above_threshold,0.03225806451612903
2002,Dry,Sacramento River,4,prop_above_threshold,0.1
2002,Dry,Yolo Bypass,3,prop_above_threshold,0.0967741935483871
2002,Dry,Yolo Bypass,4,prop_above_threshold,0.26666666666666666
2003,Above Normal,Sacramento River,3,prop_above_threshold,0.3225806451612903
2003,Above Normal,Sacramento River,4,prop_above_threshold,0
2003,Above Normal,Yolo Bypass,3,prop_above_threshold,0.5483870967741935
2003,Above Normal,Yolo Bypass,4,prop_above_threshold,0
2004,Below Normal,Sacramento River,3,prop_above_threshold,0.41935483870967744
2004,Below Normal,Sacramento River,4,prop_above_threshold,0.16666666666666666
2004,Below Normal,Yolo Bypass,3,prop_above_threshold,0.6774193548387096
2004,Below Normal,Yolo Bypass,4,prop_above_threshold,0.26666666666666666
2005,Above Normal,Sacramento River,3,prop_above_threshold,0.3548387096774194
2005,Above Normal,Sacramento River,4,prop_above_threshold,0
2005,Above Normal,Yolo Bypass,3,prop_above_threshold,0.8387096774193549
2005,Above Normal,Yolo Bypass,4,prop_above_threshold,0.13333333333333333
2006,Wet,Sacramento River,3,prop_above_threshold,0
2006,Wet,Sacramento River,4,prop_above_threshold,0
2006,Wet,Yolo Bypass,3,prop_above_threshold,0
2006,Wet,Yolo Bypass,4,prop_above_threshold,0.03333333333333333
2007,Dry,Sacramento River,3,prop_above_threshold,0.45161290322580644
2007,Dry,Sacramento River,4,prop_above_threshold,0.16666666666666666
2007,Dry,Yolo Bypass,3,prop_above_threshold,0.6451612903225806
2007,Dry,Yolo Bypass,4,prop_above_threshold,0.3333333333333333
2008,Critical,Sacramento River,3,prop_above_threshold,0.25806451612903225
2008,Critical,Sacramento River,4,prop_above_threshold,0.16666666666666666
2008,Critical,Yolo Bypass,3,prop_above_threshold,0.41935483870967744
2008,Critical,Yolo Bypass,4,prop_above_threshold,0.06666666666666667
2009,Dry,Sacramento River,3,prop_above_threshold,0.16129032258064516
2009,Dry,Sacramento River,4,prop_above_threshold,0.2
2009,Dry,Yolo Bypass,3,prop_above_threshold,0.2903225806451613
2009,Dry,Yolo Bypass,4,prop_above_threshold,0.13333333333333333
2010,Below Normal,Sacramento River,3,prop_above_threshold,0.3548387096774194
2010,Below Normal,Sacramento River,4,prop_above_threshold,0
2010,Below Normal,Yolo Bypass,3,prop_above_threshold,0.3548387096774194
2010,Below Normal,Yolo Bypass,4,prop_above_threshold,0.03333333333333333
2011,Wet,Sacramento River,3,prop_above_threshold,0
2011,Wet,Sacramento River,4,prop_above_threshold,0
2011,Wet,Yolo Bypass,3,prop_above_threshold,0
2011,Wet,Yolo Bypass,4,prop_above_threshold,0
1995,Wet,Sacramento River,3,n,31
1995,Wet,Sacramento River,4,n,30
1995,Wet,Yolo Bypass,3,n,31
1995,Wet,Yolo Bypass,4,n,30
1996,Wet,Sacramento River,3,n,31
1996,Wet,Sacramento River,4,n,30
1996,Wet,Yolo Bypass,3,n,31
1996,Wet,Yolo Bypass,4,n,30
1997,Wet,Sacramento River,3,n,31
1997,Wet,Sacramento River,4,n,30
1997,Wet,Yolo Bypass,3,n,31
1997,Wet,Yolo Bypass,4,n,30
1998,Wet,Sacramento River,3,n,31
1998,Wet,Sacramento River,4,n,30
1998,Wet,Yolo Bypass,3,n,31
1998,Wet,Yolo Bypass,4,n,30
1999,Wet,Sacramento River,3,n,31
1999,Wet,Sacramento River,4,n,30
1999,Wet,Yolo Bypass,3,n,31
1999,Wet,Yolo Bypass,4,n,30
2000,Above Normal,Sacramento River,3,n,31
2000,Above Normal,Sacramento River,4,n,30
2000,Above Normal,Yolo Bypass,3,n,31
2000,Above Normal,Yolo Bypass,4,n,30
2001,Dry,Sacramento River,3,n,31
2001,Dry,Sacramento River,4,n,30
2001,Dry,Yolo Bypass,3,n,31
2001,Dry,Yolo Bypass,4,n,30
2002,Dry,Sacramento River,3,n,31
2002,Dry,Sacramento River,4,n,30
2002,Dry,Yolo Bypass,3,n,31
2002,Dry,Yolo Bypass,4,n,30
2003,Above Normal,Sacramento River,3,n,31
2003,Above Normal,Sacramento River,4,n,30
2003,Above Normal,Yolo Bypass,3,n,31
2003,Above Normal,Yolo Bypass,4,n,30
2004,Below Normal,Sacramento River,3,n,31
2004,Below Normal,Sacramento River,4,n,30
2004,Below Normal,Yolo Bypass,3,n,31
2004,Below Normal,Yolo Bypass,4,n,30
2005,Above Normal,Sacramento River,3,n,31
2005,Above Normal,Sacramento River,4,n,30
2005,Above Normal,Yolo Bypass,3,n,31
2005,Above Normal,Yolo Bypass,4,n,30
2006,Wet,Sacramento River,3,n,31
2006,Wet,Sacramento River,4,n,30
2006,Wet,Yolo Bypass,3,n,31
2006,Wet,Yolo Bypass,4,n,30
